Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Sj 320,Fin w/bulb & spade rudder,Fractional Sloop,31.23 ft / 9.52 m,27.03 ft / 8.24 m,579.10 ft² / 53.80 m²,10.33 ft / 3.15 m,"7,765.00 lb / 3,522 kg","2,910.00 lb / 1,320 kg",6.33 ft / 1.93 m,GRP,Cast iron fin/lead bulb,1994,NA,NA,Seaquest Yachts,Stephen Jones,NA,NA,NA
Spindrift 40 (Crowther),Catamaran Twin Dbrd.,Masthead Sloop,40.00 ft / 12.19 m,NA,791.00 ft² / 73.49 m²,21.00 ft / 6.40 m,"8,000.00 lb / 3,629 kg",NA,NA,Plywood,NA,NA,NA,NA,Various from plans,Lock Crowther,1.75 ft / 0.53 m,NA,NA
Spindrift 37 (Crowther),Catamaran Twin Dbrd.,Masthead Sloop,37.50 ft / 11.43 m,34.00 ft / 10.36 m,913.00 ft² / 84.82 m²,20.00 ft / 6.10 m,"7,000.00 lb / 3,175 kg",NA,4.67 ft / 1.42 m,FG,NA,1976,NA,NA,Various from plans,Lock Crowther,1.67 ft / 0.51 m,NA,NA
Thom Cat 15,Centerboard (Trunk),Gaff head Cat,15.00 ft / 4.57 m,15.00 ft / 4.57 m,145.00 ft² / 13.47 m²,7.00 ft / 2.13 m,700.00 lb / 318 kg,NA,3.50 ft / 1.07 m,FG,NA,2001,NA,NA,Menger Boatworks/Thompson Boatworks (USA),Menger,0.58 ft / 0.18 m,NA,NA
Thom Cat 19,Keel/Cbrd.,Gaff head Cat,19.00 ft / 5.79 m,18.42 ft / 5.61 m,270.00 ft² / 25.08 m²,8.00 ft / 2.44 m,"2,900.00 lb / 1,315 kg",600.00 lb / 272 kg,4.50 ft / 1.37 m,FG,NA,1990,NA,NA,Menger Boatworks (USA)/Thompson Boatworks (USA),Menger,1.83 ft / 0.56 m,NA,NA
Thom Cat 23,Keel/Cbrd.,Gaff head Cat,22.50 ft / 6.86 m,21.33 ft / 6.50 m,435.00 ft² / 40.41 m²,10.00 ft / 3.05 m,"6,500.00 lb / 2,948 kg",NA,5.50 ft / 1.68 m,FG,NA,2006,2010,NA,Thompson Boatworks (USA),Menger/Sweisguth,2.50 ft / 0.76 m,NA,NA
Dehler 30od,Fin w/bulb & dual rudders,Fractional Sloop,33.79 ft / 10.30 m,29.43 ft / 8.97 m,664.13 ft² / 61.70 m²,10.76 ft / 3.28 m,"6,173.00 lb / 2,800 kg","2,513.00 lb / 1,140 kg",7.22 ft / 2.20 m,GRP,Lead,2019,NA,NA,Dehler (GER),judel/vrolijk & co,NA,NA,NA
Hylas 60,Fin w/bulb & dual rudders,Fractional Sloop,59.17 ft / 18.04 m,54.75 ft / 16.69 m,"1,827.00 ft² / 169.73 m²",17.25 ft / 5.26 m,"65,256.00 lb / 29,600 kg","22,562.00 lb / 10,234 kg",8.83 ft / 2.69 m,FG,Lead,2019,NA,NA,Queen Long Marine,Germán Frers,NA,NA,NA
Italia 11.98,Fin w/bulb & spade rudder,Fractional Sloop,39.30 ft / 11.98 m,34.09 ft / 10.39 m,"1,001.04 ft² / 93.00 m²",13.06 ft / 3.98 m,"13,669.00 lb / 6,200 kg","4,409.00 lb / 2,000 kg",6.89 ft / 2.10 m,FG with vinylester resin,Lead,2018,NA,NA,Italia Yachts,Matteo Polli,NA,NA,NA
Grand Soleil 34 (Skyron),Fin w/dual rudders,Fractional (9/10) Sloop,35.10 ft / 10.70 m,NA,764.24 ft² / 71.00 m²,11.81 ft / 3.60 m,"10,803.00 lb / 4,900 kg","4,850.00 lb / 2,200 kg",7.15 ft / 2.18 m,GRP w/E-glass and vinylester resin,Steel and Lead,2018,NA,NA,Cantiere Del Pardo,Skyron srl,NA,NA,NA
