Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Lindenberg 22 M/T,Swing Keel,Fractional Sloop,21.50 ft / 6.55 m,17.25 ft / 5.26 m,220.00 ft² / 20.44 m²,8.00 ft / 2.44 m,"1,800.00 lb / 816 kg",800.00 lb / 363 kg,4.67 ft / 1.42 m,FG,NA,1978,NA,NA,Lindenberg Yachts (USA),Bruce Kelly/Paul Lindenberg,0.75 ft / 0.23 m,NA,NA
Starwind 223,Keel/Cbrd.,Fractional Sloop,22.25 ft / 6.78 m,19.33 ft / 5.89 m,219.00 ft² / 20.35 m²,8.50 ft / 2.59 m,"2,435.00 lb / 1,104 kg",700.00 lb / 318 kg,5.00 ft / 1.52 m,FG,Lead,1984,NA,NA,Wellcraft Marine/Rebel Industries (USA),Cortland Steck,1.83 ft / 0.56 m,NA,NA
Schock 22,Keel/Cbrd.,Fractional Sloop,22.00 ft / 6.71 m,20.00 ft / 6.10 m,245.00 ft² / 22.76 m²,7.50 ft / 2.29 m,"2,100.00 lb / 953 kg",715.00 lb / 324 kg,4.17 ft / 1.27 m,FG,NA,1960,NA,26,W. D. Schock Corp.(USA),Wendell H. Calkins,2.17 ft / 0.66 m,NA,NA
Holder 20,Lifting Keel,Fractional Sloop,20.33 ft / 6.20 m,18.42 ft / 5.61 m,194.00 ft² / 18.02 m²,7.83 ft / 2.39 m,"1,160.00 lb / 526 kg",260.00 lb / 118 kg,3.58 ft / 1.09 m,FG,NA,1980,1987,265,Vagabond Sailboats/Hobie,Ron Holder/Dave Ulmann,1.00 ft / 0.30 m,NA,NA
Kiwi 22,Fin Keel,Fractional Sloop,21.00 ft / 6.40 m,17.50 ft / 5.33 m,205.00 ft² / 19.05 m²,7.00 ft / 2.13 m,"1,800.00 lb / 816 kg",NA,4.00 ft / 1.22 m,FG,NA,1977,NA,NA,Kiwi Boats (USA),Ron Holland,NA,NA,NA
Reinell 22,Fin w/transom hung rudder,Fractional Sloop,22.00 ft / 6.71 m,19.70 ft / 6.00 m,188.00 ft² / 17.47 m²,7.00 ft / 2.13 m,"3,500.00 lb / 1,588 kg",NA,2.80 ft / 0.85 m,FG,NA,1974,NA,NA,Reinell,Arthur S. Henry,NA,NA,NA
Atalanta 26,Twin Centerboards,Fractional Sloop,26.00 ft / 7.92 m,24.00 ft / 7.32 m,240.00 ft² / 22.30 m²,7.50 ft / 2.29 m,"2,500.00 lb / 1,134 kg",950.00 lb / 431 kg,5.75 ft / 1.75 m,Wood ('hot molded' laminate),NA,1955,NA,186,Fairey Marine (UK),Uffa Fox,1.25 ft / 0.38 m,NA,NA
Alacrity 19,Twin Keel,Masthead Sloop,18.50 ft / 5.64 m,17.00 ft / 5.18 m,158.00 ft² / 14.68 m²,6.92 ft / 2.11 m,"1,500.00 lb / 680 kg",480.00 lb / 218 kg,1.82 ft / 0.55 m,Wood/FG,NA,1960,NA,NA,Russell Marine Ltd. /Hurley Marine Ltd.,Peter Stevenson,NA,NA,NA
Mfg 19,Fin Keel,Masthead Sloop,19.16 ft / 5.84 m,17.25 ft / 5.26 m,154.00 ft² / 14.31 m²,7.00 ft / 2.13 m,"1,600.00 lb / 726 kg",400.00 lb / 181 kg,2.20 ft / 0.67 m,FG,NA,1977,NA,NA,MFG Sailboats (USA),NA,NA,NA,NA
Cal 21,Swing Keel,Fractional Sloop,20.50 ft / 6.25 m,16.67 ft / 5.08 m,196.00 ft² / 18.21 m²,6.67 ft / 2.03 m,"1,100.00 lb / 499 kg",360.00 lb / 163 kg,4.30 ft / 1.31 m,FG,Iron,1969,1976,500,Jensen Marine (USA),C. William Lapworth,0.80 ft / 0.24 m,NA,NA
Dyas,Fin Keel,Fractional Sloop,23.46 ft / 7.15 m,19.80 ft / 6.04 m,236.80 ft² / 22.00 m²,6.40 ft / 1.95 m,"1,334.00 lb / 605 kg",573.00 lb / 260 kg,3.61 ft / 1.10 m,FG,NA,1970,NA,2000,Leonhard Mader,Helmut Stöberl,NA,NA,NA
Friendship 22,Fin w/transom hung rudder,Fractional Sloop,22.00 ft / 6.71 m,18.50 ft / 5.64 m,301.00 ft² / 27.96 m²,8.20 ft / 2.50 m,"3,500.00 lb / 1,588 kg",NA,4.26 ft / 1.30 m,FG,NA,1976,NA,NA,Jachtbouw Meijer (NL),Jac. de Ridder,NA,NA,NA
Ranger 20,Keel/Cbrd.,Fractional Sloop,20.00 ft / 6.10 m,16.00 ft / 4.88 m,191.00 ft² / 17.74 m²,7.87 ft / 2.40 m,"1,500.00 lb / 680 kg",550.00 lb / 249 kg,3.08 ft / 0.94 m,FG,Lead,1972,NA,600,Ranger Fiberglass Boats (USA),Raymond Richards,1.87 ft / 0.57 m,NA,NA
Laguna 22,Fin w/transom hung rudder,Fractional Sloop,21.58 ft / 6.58 m,19.00 ft / 5.79 m,206.00 ft² / 19.14 m²,8.00 ft / 2.44 m,"2,280.00 lb / 1,034 kg",900.00 lb / 408 kg,2.92 ft / 0.89 m,FG,NA,1983,1987,NA,Laguna Yachts (USA),Shad Turner,NA,NA,NA
Sandpiper 565,Lifting Keel,Fractional Sloop,18.50 ft / 5.64 m,15.00 ft / 4.57 m,154.00 ft² / 14.31 m²,7.08 ft / 2.16 m,"1,200.00 lb / 544 kg",300.00 lb / 136 kg,2.90 ft / 0.88 m,FG,Iron,1972,NA,1500,Sandpiper Marine (UK)/CL Sailboats (CAN),Leonardo da Costa Sayago,0.83 ft / 0.25 m,NA,NA
Matilda 20,Lifting Keel,Masthead Sloop,19.50 ft / 5.94 m,16.33 ft / 4.98 m,177.00 ft² / 16.44 m²,7.92 ft / 2.41 m,"1,550.00 lb / 703 kg",300.00 lb / 136 kg,4.16 ft / 1.27 m,FG,NA,1971,NA,NA,Ouyang Boat Works (CAN),Robert Tucker,0.75 ft / 0.23 m,NA,NA
Starwind 22,Keel/Cbrd.,Fractional Sloop,22.00 ft / 6.71 m,19.00 ft / 5.79 m,208.00 ft² / 19.32 m²,7.75 ft / 2.36 m,"2,600.00 lb / 1,179 kg",775.00 lb / 352 kg,4.50 ft / 1.37 m,FG,NA,1982,NA,NA,Chrysler (USA),Halsey Herreshoff,1.90 ft / 0.58 m,NA,NA
Rk 20,Swing Keel,Masthead Sloop,20.00 ft / 6.10 m,17.50 ft / 5.33 m,190.00 ft² / 17.65 m²,7.08 ft / 2.16 m,"1,950.00 lb / 885 kg",550.00 lb / 249 kg,4.00 ft / 1.22 m,FG,NA,1972,1981,NA,RK Industries (USA),Lyle C. Hess,1.75 ft / 0.53 m,NA,NA
Santana 21,Swing keel w/outboard rudder,Fractional Sloop,21.25 ft / 6.48 m,19.33 ft / 5.89 m,189.00 ft² / 17.56 m²,7.50 ft / 2.29 m,"1,700.00 lb / 771 kg",550.00 lb / 249 kg,5.00 ft / 1.52 m,FG,Cast iron,1969,1976,879,W. D. Schock Corp.(USA),Seymour Paul,1.50 ft / 0.46 m,NA,NA
American 23,Fin (shoal draft),Masthead Sloop,23.00 ft / 7.01 m,21.00 ft / 6.40 m,213.00 ft² / 19.79 m²,7.83 ft / 2.39 m,"3,500.00 lb / 1,588 kg","1,000.00 lb / 454 kg",1.83 ft / 0.56 m,FG,NA,1978,NA,NA,American Mariner Industries (USA),Arthur S Henry,NA,NA,NA
O'day 20,Keel/Cbrd.,Masthead Sloop,19.58 ft / 5.97 m,17.25 ft / 5.26 m,190.00 ft² / 17.65 m²,7.00 ft / 2.13 m,"2,350.00 lb / 1,066 kg",400.00 lb / 181 kg,3.92 ft / 1.19 m,FG,Lead,1973,1979,949,O'Day Corp. (USA),C.Raymond Hunt Associates,1.17 ft / 0.36 m,NA,NA
Edel 6 (665/660),Fin with rudder on skeg,Fractional Sloop,21.83 ft / 6.65 m,18.21 ft / 5.55 m,211.00 ft² / 19.60 m²,8.21 ft / 2.50 m,"3,484.00 lb / 1,580 kg",882.00 lb / 400 kg,3.25 ft / 0.99 m,FG,NA,1975,1984,900,Construction Nautic Edel /Edel Canada,Maurice Edel,NA,NA,NA
Dehlya 22,Lifting Keel,Fractional Sloop,21.65 ft / 6.60 m,18.05 ft / 5.50 m,210.00 ft² / 19.51 m²,7.87 ft / 2.40 m,"1,980.00 lb / 898 kg",880.00 lb / 399 kg,1.30 ft / 0.40 m,FG,NA,1983,1990,NA,Dehler (DEU),E. G. van de Stadt,NA,NA,NA
Outlaw 23 (Milne),Lifting Keel,Fractional Sloop,22.31 ft / 6.80 m,19.00 ft / 5.79 m,205.00 ft² / 19.05 m²,7.87 ft / 2.40 m,"1,650.00 lb / 748 kg",500.00 lb / 227 kg,3.00 ft / 0.91 m,Wood/FG,Iron,1962,NA,NA,Sail Craft Ltd. (CAN),Peter Milne,1.25 ft / 0.38 m,NA,NA
Buccaneer 210,Long Keel,Masthead Sloop,20.83 ft / 6.35 m,18.33 ft / 5.59 m,191.00 ft² / 17.74 m²,8.00 ft / 2.44 m,"3,000.00 lb / 1,361 kg",900.00 lb / 408 kg,2.00 ft / 0.61 m,FG,NA,1974,NA,NA,Bayliner Marine Corp. (USA),Alan Payne/Bayliner,NA,NA,NA
Etap 23i,Lifting Keel,Fractional Sloop,22.44 ft / 6.84 m,19.03 ft / 5.80 m,205.00 ft² / 19.05 m²,8.17 ft / 2.49 m,"3,306.00 lb / 1,500 kg","1,036.00 lb / 470 kg",4.80 ft / 1.46 m,FG,NA,1982,1994,700,Etap Yachting (BEL),Jac. de Ridder,2.30 ft / 0.70 m,NA,NA
Amf 2100,Lifting Keel,Fractional Sloop,21.08 ft / 6.43 m,17.58 ft / 5.36 m,209.00 ft² / 19.42 m²,8.00 ft / 2.44 m,"2,200.00 lb / 998 kg",850.00 lb / 386 kg,4.00 ft / 1.22 m,FG,Lead,1980,1983,NA,AMF (USA),Ted Hood,1.00 ft / 0.30 m,NA,NA
Holiday 24 (Sailor),Fin w/spade rudder,Fractional Sloop,24.08 ft / 7.34 m,18.50 ft / 5.64 m,255.00 ft² / 23.69 m²,7.58 ft / 2.31 m,"2,980.00 lb / 1,352 kg","1,145.00 lb / 519 kg",3.58 ft / 1.09 m,Plywood single chine,Iron,1954,NA,NA,E. G. van de Stadt (NED),E. G. van de Stadt,NA,NA,NA
Viking 22,Fin w/spade rudder,Fractional Sloop,22.33 ft / 6.81 m,17.50 ft / 5.33 m,207.00 ft² / 19.23 m²,7.00 ft / 2.13 m,"1,700.00 lb / 771 kg",900.00 lb / 408 kg,3.75 ft / 1.14 m,FG,NA,1965,NA,NA,Ontario Yachts (CAN),Cuthbertson & Cassian,NA,NA,NA
Show 24,Fin w/spade rudder,Fractional Sloop,23.40 ft / 7.13 m,19.80 ft / 6.04 m,250.00 ft² / 23.23 m²,8.20 ft / 2.50 m,"2,094.00 lb / 950 kg",838.00 lb / 380 kg,4.43 ft / 1.35 m,FG,NA,1982,NA,NA,Cantieri Barberis (ITA),Fontana/Maletto/Navone,NA,NA,NA
Rozinante (Herreshoff),Long Keel,Masthead Ketch,28.00 ft / 8.53 m,24.00 ft / 7.32 m,348.00 ft² / 32.33 m²,6.33 ft / 1.93 m,"6,611.00 lb / 2,999 kg","3,360.00 lb / 1,524 kg",3.75 ft / 1.14 m,Wood or FG,NA,1952,NA,NA,NA,L. Francis Herreshoff,NA,NA,NA
Irwin 21 Free Spirit,Lifting Keel,Fractional Sloop,21.00 ft / 6.40 m,16.50 ft / 5.03 m,202.00 ft² / 18.77 m²,8.00 ft / 2.44 m,"1,800.00 lb / 816 kg",750.00 lb / 340 kg,4.50 ft / 1.37 m,FG,Lead,1980,NA,NA,Irwin Yachts (USA),Ted Irwin,0.84 ft / 0.26 m,NA,NA
Stuart Knockabout,Keel/Cbrd.,Fractional Sloop,28.00 ft / 8.53 m,22.83 ft / 6.96 m,291.00 ft² / 27.03 m²,6.92 ft / 2.11 m,"4,000.00 lb / 1,814 kg","2,400.00 lb / 1,089 kg",5.50 ft / 1.68 m,Wood or FG,Lead,1932,NA,81,E&D,L. Francis Herreshoff/Bill Harding,2.75 ft / 0.84 m,NA,NA
Laguna 24s,Fin w/transom hung rudder,Fractional Sloop,23.58 ft / 7.19 m,20.00 ft / 6.10 m,220.00 ft² / 20.44 m²,8.33 ft / 2.54 m,"2,600.00 lb / 1,179 kg",900.00 lb / 408 kg,2.92 ft / 0.89 m,FG,NA,1980,1987,350,Laguna Yachts (USA),W. Shad Turner,NA,NA,NA
Rainbow 24,Fin w/spade rudder,Masthead Sloop,24.00 ft / 7.32 m,17.25 ft / 5.26 m,214.00 ft² / 19.88 m²,6.25 ft / 1.91 m,"2,250.00 lb / 1,021 kg","1,120.00 lb / 508 kg",3.50 ft / 1.07 m,FG,Iron.,1962,1977,500,Tidewater Boats (USA),Sparkman & Stephens,NA,NA,NA
Balboa 24,Fin w/transom hung rudder,Fractional Sloop,23.58 ft / 7.19 m,20.00 ft / 6.10 m,220.00 ft² / 20.44 m²,8.33 ft / 2.54 m,"2,600.00 lb / 1,179 kg",900.00 lb / 408 kg,2.92 ft / 0.89 m,FG,NA,1981,NA,NA,Laguna Yachts/Coastal Recreation Inc. (USA),Shad Turner/William Downing,NA,NA,NA
Windrose 22,Swing Keel,Fractional Sloop,21.58 ft / 6.58 m,19.00 ft / 5.79 m,206.00 ft² / 19.14 m²,8.00 ft / 2.44 m,"1,980.00 lb / 898 kg",600.00 lb / 272 kg,5.50 ft / 1.68 m,FG,NA,1977,1987,NA,Laguna Yachts (USA),Shad Turner,1.40 ft / 0.43 m,NA,NA
O'day 22 Mh,Fin w/transom hung rudder,Masthead Sloop,21.67 ft / 6.61 m,18.92 ft / 5.77 m,190.00 ft² / 17.65 m²,7.17 ft / 2.19 m,"2,000.00 lb / 907 kg",600.00 lb / 272 kg,1.93 ft / 0.59 m,FG,Lead,1973,1980,NA,O'Day Corp. (USA),C. Raymond Hunt,NA,NA,NA
Helsen 22,Swing Keel,Masthead Sloop,22.00 ft / 6.71 m,19.00 ft / 5.79 m,202.00 ft² / 18.77 m²,8.00 ft / 2.44 m,"2,200.00 lb / 998 kg",700.00 lb / 318 kg,4.50 ft / 1.37 m,FG,NA,1971,NA,NA,Helsen Yachts (USA),Johannes Helsen,1.16 ft / 0.35 m,NA,NA
Pearson 22,Fin w/spade rudder,Fractional Sloop,22.25 ft / 6.78 m,18.50 ft / 5.64 m,218.00 ft² / 20.25 m²,7.75 ft / 2.36 m,"2,600.00 lb / 1,179 kg","1,000.00 lb / 454 kg",3.42 ft / 1.04 m,FG w/balsa cored deck and coach,Iron,1968,1972,NA,Pearson Yachts (USA),William H. Shaw,NA,NA,NA
Venture 21,Swing Keel,Cutter,21.00 ft / 6.40 m,18.50 ft / 5.64 m,175.00 ft² / 16.26 m²,6.83 ft / 2.08 m,"1,500.00 lb / 680 kg",400.00 lb / 181 kg,5.50 ft / 1.68 m,FG,Lead,1966,1979,NA,MacGregor Yachts Corp.(USA),Roger MacGregor,1.50 ft / 0.46 m,NA,NA
Macgregor 21,Swing Keel,Masthead Sloop,21.00 ft / 6.40 m,18.50 ft / 5.64 m,206.00 ft² / 19.14 m²,6.83 ft / 2.08 m,"1,175.00 lb / 533 kg",400.00 lb / 181 kg,5.50 ft / 1.68 m,FG,NA,1980,1985,NA,Macgregor Yacht Corp. (USA),Roger Macgregor,1.00 ft / 0.30 m,NA,NA
Allmand 23 (Hms 23),Fin w/transom hung rudder,Cutter,23.00 ft / 7.01 m,19.83 ft / 6.04 m,211.00 ft² / 19.60 m²,9.50 ft / 2.90 m,"3,360.00 lb / 1,524 kg",600.00 lb / 272 kg,2.50 ft / 0.76 m,FG,NA,1975,NA,NA,Allmand Boats Inc. (USA),NA,NA,NA,NA
Victory 21,Fin w/spade rudder,Masthead Sloop,21.00 ft / 6.40 m,15.00 ft / 4.57 m,185.00 ft² / 17.19 m²,6.25 ft / 1.91 m,"1,350.00 lb / 612 kg",500.00 lb / 227 kg,3.00 ft / 0.91 m,FG,Iron,1959,1980,690,Henry McCune/Wesco Marine/Coronado Yachts,Ted Carpentier,NA,NA,NA
Farr 727,Fin with rudder on skeg,Fractional Sloop,23.83 ft / 7.26 m,19.58 ft / 5.97 m,235.00 ft² / 21.83 m²,8.33 ft / 2.54 m,"2,690.00 lb / 1,220 kg","1,080.00 lb / 490 kg",4.67 ft / 1.42 m,FG,NA,1976,NA,40,Alpha Marine (NZ),Bruce Farr,NA,NA,NA
S2 6.7,Lifting Keel,Fractional Sloop,22.00 ft / 6.71 m,18.75 ft / 5.72 m,226.00 ft² / 21.00 m²,8.00 ft / 2.44 m,"2,200.00 lb / 998 kg",770.00 lb / 349 kg,4.50 ft / 1.37 m,FG,Lead,1980,1983,142,S2 Yachts,Don Wennersten,0.83 ft / 0.25 m,NA,NA
Sundance 20,Swing Keel,Masthead Sloop,19.75 ft / 6.02 m,15.70 ft / 4.79 m,160.00 ft² / 14.86 m²,6.75 ft / 2.06 m,"1,300.00 lb / 590 kg",175.00 lb / 79 kg,3.80 ft / 1.16 m,FG,NA,1972,NA,NA,El-Mar Boat Co. (USA),E. A. Brown,0.90 ft / 0.27 m,NA,NA
Irwin Mini-Ton,Lifting Keel,Fractional Sloop,20.81 ft / 6.34 m,16.50 ft / 5.03 m,206.00 ft² / 19.14 m²,8.00 ft / 2.44 m,"1,900.00 lb / 862 kg",770.00 lb / 349 kg,4.50 ft / 1.37 m,FG,NA,1978,NA,NA,Irwin Yachts (USA),Irwin/Rogers,0.80 ft / 0.24 m,NA,NA
H-Boat,Fin w/spade rudder,Fractional Sloop,27.25 ft / 8.31 m,20.67 ft / 6.30 m,264.00 ft² / 24.53 m²,7.17 ft / 2.19 m,"3,190.00 lb / 1,447 kg","1,594.00 lb / 723 kg",4.33 ft / 1.32 m,FG,NA,1967,NA,6000,Artekno/Botnia Marin,Hans Groop,NA,NA,NA
Santana 20,Fin w/spade rudder,Fractional Sloop,20.21 ft / 6.16 m,16.00 ft / 4.88 m,204.00 ft² / 18.95 m²,8.00 ft / 2.44 m,"1,350.00 lb / 612 kg",550.00 lb / 249 kg,4.00 ft / 1.22 m,FG,Lead,1976,NA,900,W. D. Schock Corp.(USA),Shad Turner,NA,NA,NA
Gulf Coast 23,Swing Keel,Masthead Sloop,23.00 ft / 7.01 m,17.50 ft / 5.33 m,212.00 ft² / 19.70 m²,7.33 ft / 2.23 m,"1,900.00 lb / 862 kg",500.00 lb / 227 kg,5.00 ft / 1.52 m,FG,Iron,1969,1978,NA,Gulf Coast Sailboats (USA),Martin Bludworth,3.70 ft / 1.13 m,NA,NA
Cal 22,Fin w/transom hung rudder,Fractional Sloop,22.00 ft / 6.71 m,19.50 ft / 5.94 m,223.00 ft² / 20.72 m²,7.75 ft / 2.36 m,"2,100.00 lb / 953 kg",775.00 lb / 352 kg,3.50 ft / 1.07 m,FG,NA,1984,1997,NA,Bangor Punta Marine (USA),C. R. Hunt  Assoc.,NA,NA,NA
Soling,Fin w/spade rudder,Fractional Sloop,26.75 ft / 8.15 m,20.25 ft / 6.17 m,251.00 ft² / 23.32 m²,6.25 ft / 1.91 m,"2,277.00 lb / 1,033 kg","1,279.00 lb / 580 kg",4.25 ft / 1.30 m,FG,Cast iron,1966,NA,NA,NA,Jan Linge,NA,NA,NA
J/22,Fin w/transom hung rudder,Fractional Sloop,22.50 ft / 6.86 m,19.00 ft / 5.79 m,223.00 ft² / 20.72 m²,8.00 ft / 2.44 m,"1,790.00 lb / 812 kg",700.00 lb / 318 kg,3.80 ft / 1.16 m,FG,Lead,1983,NA,NA,J Boats Tillotson Pearson (USA),Johnstone,NA,NA,NA
Us 22 Sd,Fin (shoal draft),Fractional Sloop,22.00 ft / 6.71 m,19.92 ft / 6.07 m,202.00 ft² / 18.77 m²,7.92 ft / 2.41 m,"2,450.00 lb / 1,111 kg",950.00 lb / 431 kg,2.58 ft / 0.79 m,FG,NA,1979,NA,NA,US Yachts - Bayliner (USA),NA,NA,NA,NA
Us 22,Fin w/transom hung rudder,Fractional Sloop,22.00 ft / 6.71 m,19.92 ft / 6.07 m,202.00 ft² / 18.77 m²,7.92 ft / 2.41 m,"2,450.00 lb / 1,111 kg",950.00 lb / 431 kg,4.08 ft / 1.24 m,FG,NA,1979,NA,NA,US Yachts - Bayliner (USA),Gary Mull,NA,NA,NA
Islander 23 (Crealock),Swing Keel,Fractional Sloop,22.92 ft / 6.99 m,20.25 ft / 6.17 m,219.00 ft² / 20.35 m²,7.75 ft / 2.36 m,"1,400.00 lb / 635 kg",380.00 lb / 172 kg,4.00 ft / 1.22 m,FG,Iron,1969,NA,NA,Wayfarer Yacht Corp. (USA),William Crealock,1.25 ft / 0.38 m,NA,NA
Goldeneye (Herreshoff),Long Keel,Masthead Sloop,18.25 ft / 5.56 m,15.83 ft / 4.82 m,193.00 ft² / 17.93 m²,6.33 ft / 1.93 m,"2,500.00 lb / 1,134 kg","1,320.00 lb / 599 kg",3.00 ft / 0.91 m,FG,NA,1959,NA,NA,Cape Cod Shipbuilding Co.(USA),Herreshoff,NA,NA,NA
Buccaneer 220,Fin w/transom hung rudder,Fractional Sloop,22.50 ft / 6.86 m,19.25 ft / 5.87 m,205.00 ft² / 19.05 m²,7.92 ft / 2.41 m,"2,450.00 lb / 1,111 kg",950.00 lb / 431 kg,3.00 ft / 0.91 m,FG,NA,1978,NA,NA,Bayliner Marine Corp. (USA),Gary Mull,NA,NA,NA
Knarr,Fin Keel,Fractional Sloop,30.33 ft / 9.24 m,20.37 ft / 6.21 m,286.00 ft² / 26.57 m²,6.95 ft / 2.12 m,"4,905.00 lb / 2,225 kg","2,822.00 lb / 1,280 kg",4.26 ft / 1.30 m,Wood/FG,Iron,1946,NA,450,NA,Erling Kristoffersen,NA,NA,NA
Hotfoot 20,Lifting Keel,Fractional Sloop,20.00 ft / 6.10 m,18.00 ft / 5.49 m,225.00 ft² / 20.90 m²,8.50 ft / 2.59 m,"1,000.00 lb / 454 kg",400.00 lb / 181 kg,5.00 ft / 1.52 m,FG,NA,1985,NA,NA,Hotfoot Boats (CAN),Doug Hemphill,1.50 ft / 0.46 m,NA,NA
Ensign (Pearson),Full Keel,Fractional Sloop,22.50 ft / 6.86 m,16.75 ft / 5.11 m,235.00 ft² / 21.83 m²,7.00 ft / 2.13 m,"3,000.00 lb / 1,361 kg","1,200.00 lb / 544 kg",3.00 ft / 0.91 m,FG,NA,1962,1982,1776,Pearson Yachts (USA),Carl Alberg,NA,NA,NA
Precision 23,Keel/Cbrd.,Fractional Sloop,23.42 ft / 7.14 m,20.00 ft / 6.10 m,248.00 ft² / 23.04 m²,8.50 ft / 2.59 m,"2,450.00 lb / 1,111 kg",850.00 lb / 386 kg,5.33 ft / 1.62 m,FG,Lead,1986,2019,500,Precision Boat Works (USA),Jim Taylor,1.92 ft / 0.59 m,NA,NA
X-21(Jeppesen),Fin Keel,Fractional Sloop,26.04 ft / 7.94 m,21.00 ft / 6.40 m,207.00 ft² / 19.23 m²,9.45 ft / 2.88 m,"2,400.00 lb / 1,089 kg","1,410.00 lb / 640 kg",4.00 ft / 1.22 m,FG,NA,1979,1994,NA,X Yachts (DEN),Niels Jeppesen,NA,NA,NA
Sea Sprite 23 (Daysailer),Long Keel,Fractional Sloop,22.50 ft / 6.86 m,16.25 ft / 4.95 m,247.00 ft² / 22.95 m²,7.00 ft / 2.13 m,"3,350.00 lb / 1,520 kg","1,447.00 lb / 656 kg",3.00 ft / 0.91 m,FG,NA,1958,1986,780,C.E.Ryder/Sailstar Boats/Seasprite Co. (USA),Carl Alberg,NA,NA,NA
Capri 22 (Catalina),Fin w/transom hung rudder,Fractional Sloop,22.00 ft / 6.71 m,20.00 ft / 6.10 m,229.00 ft² / 21.27 m²,8.00 ft / 2.44 m,"2,150.00 lb / 975 kg",750.00 lb / 340 kg,4.00 ft / 1.22 m,FG,Lead,1984,NA,1800,Catalina Yachts (USA),Gary Mull / Frank Butler,NA,NA,NA
Newport 20,Fin w/spade rudder,Masthead Sloop,20.50 ft / 6.25 m,18.00 ft / 5.49 m,196.50 ft² / 18.26 m²,7.00 ft / 2.13 m,"2,500.00 lb / 1,134 kg",900.00 lb / 408 kg,3.33 ft / 1.01 m,FG,Lead,1968,NA,NA,Lindsey Plastics/Capital Yachts Inc. (USA),Gary Mull,NA,NA,NA
Sirius 21/22 (Can),Swing Keel,Masthead Sloop,21.00 ft / 6.40 m,18.75 ft / 5.72 m,205.00 ft² / 19.05 m²,7.92 ft / 2.41 m,"2,000.00 lb / 907 kg",525.00 lb / 238 kg,5.00 ft / 1.52 m,FG,Iron,1977,1987,500,Vandestadt and McGruer Ltd.,Vandestadt,1.33 ft / 0.41 m,NA,NA
Spirit 23,Keel/Cbrd.,Masthead Sloop,23.00 ft / 7.01 m,20.00 ft / 6.10 m,215.00 ft² / 19.97 m²,7.92 ft / 2.41 m,"2,800.00 lb / 1,270 kg",800.00 lb / 363 kg,5.00 ft / 1.52 m,FG,Lead,1978,1981,NA,Glastron (USA),Robert Finch,2.00 ft / 0.61 m,NA,NA
Wilderness 21,Fin w/spade rudder,Fractional Sloop,20.50 ft / 6.25 m,17.75 ft / 5.41 m,208.00 ft² / 19.32 m²,7.25 ft / 2.21 m,"1,870.00 lb / 848 kg","1,070.00 lb / 485 kg",4.00 ft / 1.22 m,FG,Lead,1978,NA,80,Wilderness Boat Works (USA),Chuck Burns,NA,NA,NA
North American 23,Keel/Cbrd.,Masthead Sloop,23.00 ft / 7.01 m,20.00 ft / 6.10 m,215.00 ft² / 19.97 m²,7.92 ft / 2.41 m,"2,800.00 lb / 1,270 kg",800.00 lb / 363 kg,5.00 ft / 1.52 m,FG,NA,1976,1978,NA,Glastron/North American Yachts,Robert Finch,2.00 ft / 0.61 m,NA,NA
Sonar,Fin w/spade rudder,Fractional Sloop,23.00 ft / 7.01 m,19.92 ft / 6.07 m,265.00 ft² / 24.62 m²,7.83 ft / 2.39 m,"2,100.00 lb / 953 kg",930.00 lb / 422 kg,3.92 ft / 1.19 m,FG,Lead,1980,NA,860,Seidelman,Bruce Kirby,NA,NA,NA
Mistral T-21,Lifting Keel,Fractional Sloop,21.00 ft / 6.40 m,18.67 ft / 5.69 m,280.00 ft² / 26.01 m²,8.16 ft / 2.49 m,"2,700.00 lb / 1,225 kg",770.00 lb / 349 kg,5.10 ft / 1.55 m,FG,NA,1978,NA,NA,Mistral Sailboats Inc. (CAN),NA,1.16 ft / 0.35 m,NA,NA
Clipper 4c,Swing Keel,Masthead Sloop,23.58 ft / 7.19 m,18.50 ft / 5.64 m,183.00 ft² / 17.00 m²,7.92 ft / 2.41 m,"2,000.00 lb / 907 kg",540.00 lb / 245 kg,3.50 ft / 1.07 m,FG,NA,1974,NA,NA,Clipper Marine Corp. (USA),W.I.B. Crealock,0.75 ft / 0.23 m,NA,NA
Aegean 234,Fin w/spade rudder,Fractional Sloop,21.70 ft / 6.61 m,19.20 ft / 5.85 m,242.00 ft² / 22.48 m²,8.20 ft / 2.50 m,"2,685.00 lb / 1,218 kg",896.00 lb / 406 kg,4.61 ft / 1.41 m,FG,NA,1980,NA,NA,Aegean Marine,Ed Dubois,NA,NA,NA
Spirit 21 (6.5),Swing Keel,Masthead Sloop,21.25 ft / 6.48 m,18.75 ft / 5.72 m,195.00 ft² / 18.12 m²,7.83 ft / 2.39 m,"2,100.00 lb / 953 kg",550.00 lb / 249 kg,5.00 ft / 1.52 m,FG,NA,1977,NA,NA,Glastron (USA),Hank Hinckley,1.67 ft / 0.51 m,NA,NA
